title,subtitle,authors,categories,published_year,num_pages
Gilead,,Marilynne Robinson,Fiction,2004,247
Spider's Web,A Novel,Charles Osborne;Agatha Christie,Detective and mystery stories,2000,241
The One Tree,,Stephen R. Donaldson,American fiction,1982,479
Rage of angels,,Sidney Sheldon,Fiction,1993,512
The Four Loves,,Clive Staples Lewis,Christian life,2002,170
The Problem of Pain,,Clive Staples Lewis,Christian life,2002,176
An Autobiography,,Agatha Christie,"Authors, English",1977,560
Empires of the Monsoon,A History of the Indian Ocean and Its Invaders,Richard Hall,"Africa, East",1998,608
The Gap Into Madness,Chaos and Order,Stephen R. Donaldson,"Hyland, Morn (Fictitious character)",1994,743
Master of the Game,,Sidney Sheldon,Adventure stories,1982,489
If Tomorrow Comes,,Sidney Sheldon,Adventure stories,1994,501
Assassin's Apprentice,,Robin Hobb,American fiction,1996,460
Warhost of Vastmark,,Janny Wurts,Fiction,1995,522
The Once and Future King,,Terence Hanbury White,Arthurian romances,1996,823
Murder in LaMut,,Raymond E. Feist;Joel Rosenberg,Adventure stories,2003,337
Jimmy the Hand,,Raymond E. Feist;S. M. Stirling,Fantasy fiction,2003,368
Well of Darkness,,Margaret Weis;Tracy Hickman,,2001,599
Witness for the Prosecution & Selected Plays,,Agatha Christie,English drama,1995,352
The Little House,,Philippa Gregory,Country life,1998,368
Mystical Paths,,Susan Howatch,English fiction,1996,576
Glittering Images,,Susan Howatch,English fiction,1996,512
Glamorous Powers,,Susan Howatch,Clergy,1996,512
The Mad Ship,,Robin Hobb,Fantasy fiction,2000,906
Post Captain,,Patrick O'Brian,"Aubrey, Jack (Fictitious character)",1996,474
The Reverse of the Medal,,Patrick O'Brian,Adventure stories,1997,261
Miss Marple,The Complete Short Stories,Agatha Christie,"Detective and mystery stories, English",1997,359
The Years of Rice and Salt,,Kim Stanley Robinson,Black Death,2003,772
Spares,,Michael Marshall Smith,Human cloning,1998,317
Gravity,,Tess Gerritsen,Science fiction,2004,342
The Wise Woman,,Philippa Gregory,Great Britain,2002,640
Girls' Night in,,Jessica Adams;Chris Manby;Fiona Walker,American fiction,2000,586
The White Album,,Joan Didion,American essays,1993,224
The Bonesetter's Daughter,,Amy Tan,China,2001,352
The Lexus and the Olive Tree,,Thomas L. Friedman,Capitalism,2000,352
'Tis,A Memoir,Frank McCourt,Ireland,2000,495
Ocean Star Express,,Mark Haddon;Peter Sutton,Juvenile Fiction,2002,32
A Small Pinch of Weather,And Other Stories,Joan Aiken,"Children's stories, English",2000,239
The Princess of the Chalet School,,Elinor Mary Brent-Dyer,Juvenile Fiction,2000,159
Koko,,Peter Straub,Male friendship,2001,634
Tree and Leaf,The Homecoming of Beorhtnoth : Beorhthelm's Son,John Ronald Reuel Tolkien,Literary Collections,2001,176
Partners in Crime,,Agatha Christie,"Beresford, Tommy (Fictitious character)",2001,347
Murder in Mesopotamia,,Agatha Christie,Detective and mystery stories,2001,264
"The Lord of the Rings, the Return of the King",Visual Companion,Jude Fisher,Imaginary wars and battles,2003,72
All Families are Psychotic,,Douglas Coupland,Dysfunctional families,2002,279
Death in the Clouds,,Agatha Christie,Detective and mystery stories,2001,333
